,recall@1,recall@2,recall@3,recall@4,recall@5,recall@6,recall@8,recall@10,recall@20,recall@50,recall@100
bert-base-german-cased-GermanDPR-epoch1,0.0796747967479677,0.1124274099883859,0.1351916376306619,0.1507549361207887,0.1670150987224138,0.1797909407665479,0.1990708478513319,0.2125435540069641,0.2673635307781574,0.3598141695702544,0.4220673635307619
bert-base-german-cased-GermanDPR-epoch2,0.0566782810685251,0.0843205574912894,0.1017421602787459,0.1140534262485485,0.1228803716608598,0.1303135888501743,0.1472706155632976,0.1605110336817638,0.2004645760743283,0.2847851335656128,0.3493612078977811
bert-base-german-cased-GermanDPR-epoch3,0.0606271777003486,0.0829268292682929,0.099186991869919,0.112659698025552,0.1219512195121955,0.12938443670151,0.1449477351916369,0.1577235772357709,0.2013937282229926,0.2692218350754859,0.3344947735191524
bert-base-german-cased-GermanDPR-XQA-epoch1,0.2513356562136983,0.3389082462253078,0.387224157955851,0.4239256678280905,0.4471544715446978,0.4659698025551497,0.4950058072009088,0.5126596980255335,0.5844367015098672,0.6643437862950153,0.7077816492450814
bert-base-german-cased-GermanDPR-XQA-epoch2,0.2318234610917482,0.3098722415795487,0.3614401858304169,0.3955865272938296,0.4185830429732708,0.4376306620208888,0.4687572590011426,0.4903600464575874,0.5593495934959253,0.6415795586527347,0.6915214866434524
bert-base-german-cased-GermanDPR-XQA-epoch3,0.1983739837398337,0.2787456445992949,0.3256678281068417,0.3567944250870954,0.3793263646922045,0.3981416957026564,0.4297328687572423,0.4538908246225139,0.5210220673635141,0.6072009291521477,0.6641114982578492
bert-base-german-cased-GermanDPR-XQA-HP-epoch1,0.41347270615561726,0.5349593495934818,0.5995354239256655,0.6380952380952428,0.6641114982578492,0.6859465737514653,0.7159117305458959,0.7405342624855055,0.8051103368176892,0.8659698025552148,0.9019744483159647
bert-base-german-cased-GermanDPR-XQA-HP-epoch2,0.39303135888500285,0.515447154471527,0.575145180023222,0.6150987224157961,0.6462253193960573,0.6675958188153411,0.6987224157956023,0.7217189314750491,0.7855981416957344,0.8506387921022504,0.8875725900116648
bert-base-german-cased-GermanDPR-XQA-HP-epoch3,0.39140534262484034,0.511730545876869,0.5663182346109091,0.6099883855981413,0.6353077816492493,0.6571428571428654,0.6922183507549508,0.7173054587688926,0.7763066202090892,0.844599303135931,0.8775842044135213
bert-base-german-cased-GermanDPR-XQA-HP-epoch4,0.380720092915201,0.5001161440185625,0.5614401858304204,0.6030197444831574,0.6320557491289235,0.6538908246225396,0.683623693379804,0.7073170731707491,0.7770034843205876,0.8392566782811101,0.8747967479675277
bert-base-german-cased-GermanDPR-XQA-HP-epoch5,0.3670150987224027,0.4880371660859267,0.5486643437862834,0.5879210220673591,0.6206736353077832,0.6411149825784025,0.6657375145180121,0.6887340301974588,0.7565621370499683,0.8206736353078198,0.857142857142902
